State,Job Seq No.,Batch/Job No.,HPA MIPS No.,Job Name,Form Name,Ctl Docs,Extractions,Lodge QTY,Date,Time,Aust Post Lodgement No,Outstanding
SA,A08.45,H28561,200082,A#PYCH39,SS360,74,0,74,12-07-07,10:20,1295169,0
SA,A08.46,H28801,200084,A#TXDA2,TXDA,243,0,243,12-07-07,10:22,1295171,0
SA,A09.9,44064,200088,A#BLP1A1,CUST-ACCT,2822,0,2822,12-07-07,10:50,1295275,0
SA,A09.29,44070,200089,A#BLP1A2,COLBECK,501,0,501,12-07-07,10:02,1295101,0
SA,A20.61,011012,199711,A#TXFY05,TXFY-DPID,25000,0,24000,12-07-07,10:06,1295103,0
SA,A20.61,011012,199711,A#TXFY05,TXFY-DPID,25000,0,1000,12-07-07,10:07,1295104,0
SA,A20.62,011013,199715,A#TXFY05,TXFY-DPID,25000,0,25000,12-07-07,10:08,1295105,0
VIC,A08.31,44051,999159,A#BLP2A6,ITC,213,0,213,12-07-07,13:20,1296200,0
VIC,A08.32,44052,999160,A#BLP2B1,CAI,249,0,249,12-07-07,14:18,1296641,0
VIC,A08.43,44058,999168,A#BL02H1,CALLCAT3,390,0,390,12-07-07,15:06,1297059,0
VIC,B08.43,45952,999134,B#BLP2A6,ITC,214,0,214,12-07-07,11:37,1295516,0
VIC,B08.44,45953,999135,B#BLP2B1,CAI,271,0,271,12-07-07,15:13,1297218,0
VIC,B08.55,45959,999289,B#BL02H1,CALLCAT3,479,0,479,12-07-07,14:14,1296637,0
VIC,B08.60,H28701,999177,B#PYND04,TPO,2217,0,2217,12-07-07,12:14,1295839,0
VIC,G08.33,45574,999150,G#BLP2B1,CAI,395,0,395,12-07-07,15:03,1297057,0
VIC,G08.44,45581,999164,G#BL02H1,CALLCAT3,793,0,793,12-07-07,12:02,1295779,0
VIC,H08.25,40413,998554,H#BLP1B1,BLAOMR,3886,0,3886,12-07-07,11:56,1295768,0
VIC,H08.30,40416,999130,H#BLP2A5,BLASU19,1919,0,1918,12-07-07,13:35,1296275,1
VIC,H08.31,40417,999132,H#BLP2A6,ITC,68,0,68,12-07-07,11:39,1295643,0
VIC,H08.32,40418,999133,H#BLP2B1,CAI,84,0,84,12-07-07,14:18,1296638,0
VIC,H08.33,40419,999128,H#BLP2B2,SU19YELLOW,2,0,2,12-07-07,10:11,1295154,0
VIC,H08.41,40423,999129,H#BLP2C2,COLSU19,13,0,13,12-07-07,10:07,1295089,0
VIC,H08.42,40425,999288,H#BL02T1,CALLCAT2,1,0,1,12-07-07,15:00,1297054,0
VIC,H08.43,40426,999147,H#BL02C1,BLASTOLA,81,0,81,12-07-07,09:59,1295084,0
VIC,H08.44,40424,999161,H#BL02H1,CALLCAT3,123,0,123,12-07-07,13:22,1296202,0
VIC,H08.45,H28281,999139,H#PYCH39,SS360,18,0,18,12-07-07,14:26,1296757,0
VIC,H08.46,H28771,999174,H#TXDA2,TXDA,102,0,102,12-07-07,11:59,1295772,0
VIC,H09.28,40435,999222,H#BLP1A2,COLBECK,178,0,178,12-07-07,17:44,1298477,0
VIC,I08.22,6519,999131,I#BLP2A6,ITC,1,0,1,12-07-07,12:00,1295774,0
VIC,J07.25,44987,998121,J#BLP1B1,BLAOMR,19433,0,2,12-07-07,17:31,1298425,0
VIC,J07.30,44990,998484,J#BLP2A5,BLASU19,5307,0,1,12-07-07,17:30,1298424,0
VIC,J08.9,45004,998563,J#BLP1A1,CUST-ACCT,8050,0,8050,12-07-07,07:31,1294756,0
VIC,J08.25,45007,998564,J#BLP1B1,BLAOMR,17081,0,17080,12-07-07,09:31,1294993,1
